[13:33:18:32] | ESP_GATTS_DEMO | 4827E2827F72 | -79
[13:33:18:40] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:18:45] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:33:18:59] | ESP_GATTS_DEMO | 4827E2827F72 | -74
[13:33:18:65] | ESP_GATTS_DEMO | 4827E2827F72 | -74
[13:33:18:69] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:33:18:92] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:33:18:96] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:33:19:00] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:19:65] | ESP_GATTS_DEMO | 4827E2827F72 | -81
[13:33:19:73] | ESP_GATTS_DEMO | 4827E2827F72 | -83
[13:33:19:76] | ESP_GATTS_DEMO | 4827E2827F72 | -84
[13:33:20:43] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:33:20:44] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:33:20:49] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:20:54] | ESP_GATTS_DEMO | 4827E2827F72 | -80
[13:33:21:08] | ESP_GATTS_DEMO | 4827E2827F72 | -74
[13:33:21:09] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:33:21:90] | ESP_GATTS_DEMO | 4827E2827F72 | -89
[13:33:23:26] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:33:23:28] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:33:23:30] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:23:37] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:33:24:01] | ESP_GATTS_DEMO | 4827E2827F72 | -87
[13:33:24:78] | ESP_GATTS_DEMO | 4827E2827F72 | -83
[13:33:24:80] | ESP_GATTS_DEMO | 4827E2827F72 | -81
[13:33:24:84] | ESP_GATTS_DEMO | 4827E2827F72 | -82
[13:33:25:54] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:33:25:60] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:26:96] | ESP_GATTS_DEMO | 4827E2827F72 | -83
[13:33:27:01] | ESP_GATTS_DEMO | 4827E2827F72 | -82
[13:33:27:04] | ESP_GATTS_DEMO | 4827E2827F72 | -78
[13:33:27:71] | ESP_GATTS_DEMO | 4827E2827F72 | -75
[13:33:27:73] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:33:27:83] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:28:55] | ESP_GATTS_DEMO | 4827E2827F72 | -83
[13:33:29:23] | ESP_GATTS_DEMO | 4827E2827F72 | -82
[13:33:29:26] | ESP_GATTS_DEMO | 4827E2827F72 | -83
[13:33:29:31] | ESP_GATTS_DEMO | 4827E2827F72 | -83
[13:33:29:93] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:30:69] | ESP_GATTS_DEMO | 4827E2827F72 | -86
[13:33:30:79] | ESP_GATTS_DEMO | 4827E2827F72 | -88
[13:33:31:36] | ESP_GATTS_DEMO | 4827E2827F72 | -82
[13:33:31:41] | ESP_GATTS_DEMO | 4827E2827F72 | -82
[13:33:31:50] | ESP_GATTS_DEMO | 4827E2827F72 | -87
[13:33:32:11] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:32:88] | ESP_GATTS_DEMO | 4827E2827F72 | -76
[13:33:32:92] | ESP_GATTS_DEMO | 4827E2827F72 | -77
[13:33:33:15] | ESP_GATTS_DEMO | 4827E2827F72 | -76
